x, y
-0.00023483365949119374, 20.039840637450197
-0.00011741682974559687, 19.760956175298805
0.00003913894324853229, 19.282868525896415
0.00019569471624266145, 18.725099601593627
0.00043052837573385517, 18.247011952191233
0.0007436399217221135, 17.56972111553785
0.0009784735812133072, 16.61354581673307
0.001330724070450098, 15.577689243027889
0.00187866927592955, 14.860557768924302
0.0023091976516634053, 14.223107569721115
0.002818003913894325, 13.306772908366534
0.00324853228962818, 12.549800796812749
0.0037573385518591, 11.832669322709163
0.004187866927592955, 11.075697211155378
0.004735812133072407, 10.239043824701195
0.005283757338551859, 9.641434262948207
0.0058317025440313116, 8.92430278884462
0.006418786692759295, 8.366533864541832
0.006849315068493151, 7.768924302788845
0.007475538160469667, 7.091633466135458
0.008219178082191782, 6.533864541832669
0.008845401174168297, 5.9760956175298805
0.009315068493150684, 5.378486055776892
0.010097847358121331, 4.940239043824701
0.010841487279843444, 4.382470119521912
0.011506849315068493, 3.9840637450199203
0.012250489236790608, 3.50597609561753
0.013033268101761253, 3.0677290836653386
0.01385518590998043, 2.749003984063745
0.01467710371819961, 2.4701195219123506
0.015499021526418787, 2.151394422310757
0.01639921722113503, 1.752988047808765
0.017338551859099806, 1.4741035856573705
0.01812133072407045, 1.3545816733067728
0.019021526418786693, 1.2350597609561753
0.01984344422700587, 1.155378486055777
0.02054794520547945, 1.0358565737051793
0.021369863013698632, 0.9561752988047809
0.022230919765166342, 0.8764940239043825
0.02309197651663405, 0.9163346613545816
0.024031311154598826, 0.8764940239043825
0.02481409001956947, 0.9163346613545816
0.02567514677103718, 0.9163346613545816
0.026536203522504895, 0.9163346613545816
0.027397260273972605, 0.9163346613545816
0.028101761252446185, 0.8764940239043825
0.028767123287671233, 0.9163346613545816
0.02974559686888454, 0.9163346613545816
0.030489236790606656, 0.9163346613545816
0.031154598825831704, 0.9163346613545816
