mean,var,sd,cv,iod
6.3975,0.9919736842105272,0.9959787569072581,0.155682494241072,0.15505645708644428
15.89,14.699649122807019,3.8340121443217963,0.24128459058035218,0.9250880505227828
9.695,1.6110025062656643,1.2692527353784449,0.13091828111175294,0.1661683864121366
2.979328165374677,1.491799547468905,1.2213924625069965,0.40995566607997197,0.500716760512113
4.5212121212121215,6.955475729943817,2.637323592194143,0.5833222422413319,1.5384095113146512
9.695,9.916766917293232,3.1490898553857165,0.3248158695601564,1.0228743597001786
5.7975,1.3849561403508774,1.1768415952671274,0.20299121953723628,0.23888851062542085
7.9725,2.6684147869674177,1.633528324507236,0.20489536839225286,0.33470238782908973
3.9846153846153847,4.097449080482498,2.0242156704468273,0.5080077937414818,1.0283173368006269
18.26,7.275588972431079,2.6973299709955914,0.14771796117171912,0.3984440839228411
4.375,1.713659147869674,1.309068045546019,0.2992155532676615,0.39169351951306836
13.3325,8.538289473684209,2.922035159556471,0.21916633486266424,0.6404117362598319
2.898989898989899,1.5897711290116359,1.2608612647756436,0.43493123767522207,0.5483879504256166
8.335,3.1105513784461154,1.7636755309427286,0.21159874396433453,0.3731915271081122
4.206549118387909,1.4572297280105844,1.2071577063543042,0.2869710236063825,0.34641928264682753
3.1790281329923276,1.4140205915141975,1.189125977983072,0.37405330441784485,0.4447965014336695
16.775,5.122180451127819,2.2632234646909746,0.13491645095028165,0.30534607756350635
20.63,37.05072681704261,6.086930820786664,0.29505239073129735,1.795963490889123
19.9525,6.005256892230575,2.4505625664794963,0.12281982540932196,0.3009776665696316
2.82,0.7945864661654137,0.8913957965827602,0.31609780020665257,0.2817682504132673
2.9669211195928753,1.1494132003946622,1.0721068978393256,0.36135335407448965,0.38740942346063656
6.130548302872063,15.035268546744486,3.8775338227724703,0.6324938049922726,2.452516121551592
6.4025,3.0481140350877194,1.7458848859783738,0.2726879946861966,0.4760818485103818
18.5775,2.314780701754385,1.5214403378885368,0.08189693650321823,0.1246013027454924
17.59,9.495639097744363,3.081499488519244,0.17518473499256648,0.5398316712759729
2.0,0.0,0.0,0.0,0.0
16.475,4.686090225563911,2.164737911518138,0.13139532088122233,0.28443643250767287
19.37,147.91789473684207,12.162150086923038,0.6278859105277769,7.636442681303152
20.9175,13.409216791979953,3.6618597449902355,0.1750620172100029,0.6410525536980974
4.3128834355828225,4.147956583294005,2.036653280088195,0.4722254404756412,0.9617594922858076
4.1725,1.1806954887218042,1.086598126595939,0.2604189638336582,0.2829707582317086
5.458083832335329,2.3390785995576415,1.529404655268723,0.2802090811079284,0.42855307309503693
9.0675,3.446560150375936,1.856491354780823,0.20474125776463445,0.38010037500699595
12.965,4.414812030075188,2.101145409074581,0.16206289310255156,0.3405177038237708
5.66,3.7738345864661644,1.9426359891822669,0.3432219062159482,0.6667552272908418
8.458646616541353,15.1333358521933,3.89015884665309,0.4599032236487653,1.789096594081519
