mean,var,sd,cv,delta
0.115,1.8363659147869693,1.3551257929753124,11.783702547611412,0.15986784060686912
0.055,1.009498746867167,1.0047381484084135,18.267966334698425,0.1836462321307932
0.11,2.413934837092731,1.5536842784467928,14.12440253133448,0.21969028086283376
0.745,8.756867167919804,2.9592004271288896,3.9720811102401203,0.11842410073057438
0.185,5.85040100250626,2.418760220134741,13.074379568295896,0.31682401645781233
0.545,8.178421052631576,2.859793882892887,5.247328225491535,0.15088509537772743
0.0675,0.9703696741854637,0.9850734359353437,14.593680532375462,0.1438555727613122
0.0825,0.37663533834586505,0.6137062313076713,7.438863409789955,0.04569046291625318
1.73,36.95448621553882,6.0790201690353705,3.5138844907718907,0.21737025227498633
1.3075,37.81748746867167,6.14959246362486,4.703321195888994,0.29306693599053646
0.2325,2.92575814536341,1.7104847691117888,7.356923738115221,0.12613231765417648
0.0575,0.6608458646616536,0.8129242674823121,14.13781334751847,0.11499583820029623
0.495,8.837067669172939,2.9727205837705197,6.005496128829333,0.17941472245540557
1.865,26.989248120300775,5.195117719580643,2.7855859086223287,0.14746468347987976
0.8475,17.397738095238104,4.171059589029879,4.921604234843515,0.20703768979253276
0.29,3.359298245614037,1.8328388487845944,6.320133961326188,0.11617477739285435
0.775,14.084586466165423,3.752943706767452,4.842508008732196,0.18315605902083631
0.0875,0.74671052631579,0.8641241382554882,9.875704437205579,0.08541308231168446
0.245,1.9197744360902258,1.3855592502993965,5.6553438787730475,0.0785505891921013
0.14,2.63197994987469,1.62233780387276,11.588127170519714,0.18826213483696386
0.315,4.2062907268170395,2.0509243591164057,6.510870981321923,0.13395499718771398
0.0925,1.2721240601503776,1.1278847725500942,12.193348892433452,0.13765425560809993
0.11,1.03047619047619,1.0151237316092014,9.22839756008365,0.09378281477590715
0.0425,0.18114661654135347,0.4256132241147512,10.014428802700028,0.04264085566750656
0.085,1.1406265664160404,1.0680012015049611,12.564720017705424,0.1343055204472084
0.015,0.09000000000000004,0.30000000000000004,20.000000000000004,0.06000900135020256
0.2375,3.800595238095238,1.9495115383334458,8.208469635088193,0.16040602697069703
1.0075,22.007462406015033,4.691211187530896,4.656289019881782,0.22065949584510625
0.115,2.638370927318293,1.6243062911034645,14.124402531334473,0.22968769975195757
0.02,0.15999999999999995,0.3999999999999999,19.999999999999996,0.0800160032006401
0.4725,13.357637844611553,3.6548102337346533,7.735048113724134,0.28404343527636977
1.0275,19.11954260651628,4.37258991977481,4.255561965717576,0.18801007708478368
0.1275,0.7781892230576452,0.8821503403942239,6.918826199170383,0.061112367135363874
0.405,4.843082706766923,2.200700503650354,5.433828404074948,0.12006856675131623
0.46,8.454536340852128,2.9076685404034843,6.321018566094531,0.18464362897266834
1.5775,33.512775689223034,5.78902199764546,3.669744530995538,0.21584730946350975
1.375,19.6234335839599,4.429834487197,3.221697808870545,0.14470558236817993
1.555,42.52328320802005,6.520987901232454,4.19356135127489,0.27778112483863665
1.27,19.87177944862156,4.457777411291591,3.510060953772906,0.15848344405940928
0.165,2.3486466165413544,1.5325294830904084,9.288057473275202,0.14257747201314622
0.2325,6.203953634085214,2.4907737019017233,10.713005169469778,0.2674585565885938
0.025,0.14473684210526308,0.38044295512634096,15.217718205053638,0.05790921414564164
0.48,7.794085213032581,2.7917888912008695,5.816226856668479,0.16315994299790204
1.7875,29.380795739348375,5.420405495841466,3.0323946829882327,0.16735964164673395
0.9525,14.33608395989974,3.7863021485216604,3.9751203659020056,0.15195746265223223
0.105,0.7408270676691736,0.8607131157761996,8.19726776929714,0.07062911940100663
1.2975,10.04410401002506,3.1692434444240885,2.442576835779644,0.07842882018486635
0.3575,3.4433020050125327,1.8556136464826218,5.190527682468873,0.09666170559786293
0.1375,1.4121240601503742,1.188328262792051,8.64238736576037,0.10284133848772055
0.7875,15.450971177944862,3.930772338605336,4.991456937911538,0.19776016994715748
0.8325,15.653577694235599,3.9564602480292406,4.752504802437526,0.18960946206581925
1.15,17.802005012531335,4.219242232028322,3.6689062887202804,0.15660095456472334
1.3775,19.62405388471179,4.429904500631113,3.215901633851988,0.14445118630523326
1.825,37.08709273182962,6.089917300902338,3.3369409867958018,0.20699459788722052
0.4325,5.0881641604010035,2.25569593704493,5.215481935364,0.11815644071942955
0.5925,9.600444862155397,3.0984584654559106,5.2294657644825495,0.16299859133136657
0.6925,10.749818295739358,3.278691552393936,4.734572638836009,0.15631451114112316
1.715,29.57771929824563,5.438540180806393,3.1711604552806953,0.17547421840391061
0.03,0.36000000000000015,0.6000000000000001,20.000000000000004,0.12003601080324103
1.8275,31.93758771929823,5.6513350386699095,3.092385794073822,0.1780142931180775
0.0325,0.31222431077694257,0.5587703560291496,17.19293403166614,0.09610025128226445
0.855,11.407493734335844,3.3774981471994687,3.9502902306426537,0.1345715662403119
0.0325,0.141798245614035,0.37656107819852414,11.586494713800743,0.04364441385420569
0.1,1.0877192982456134,1.0429378208913576,10.429378208913574,0.10888081063519651
0.5625,8.823151629072681,2.970379037946619,5.280673845238434,0.1577433352219154
1.09,11.751278195488736,3.42801373910443,3.14496673312333,0.108997969570045
0.1075,1.1788909774436098,1.0857674601145542,10.100162419670271,0.10978229293640522
0.7875,15.75172305764411,3.9688440455180536,5.039801962562608,0.20160955534541317
0.8275,13.50149749373434,3.674438391609572,4.4404089324586975,0.1645215060210473
0.525,5.242481203007526,2.2896465235943135,4.361231473512978,0.10038379976797282
0.085,0.36368421052631567,0.6030623603959342,7.094851298775696,0.04282277706948737
0.21,2.421954887218044,1.556263116320002,7.4107767443809625,0.11557389027519906
1.475,33.708646616541344,5.805914795838925,3.9362134209077455,0.23195452666864277
0.3323262839879154,6.810436693216144,2.6096813394006833,7.852768394014783,0.20561554590797596
0.52,5.849223057644105,2.418516706091588,4.650993665560747,0.11307303860157636
0.08,0.34446115288220586,0.5869081298484506,7.3363516231056325,0.043092117804519346
0.7525,8.53758771929825,2.9219150773590683,3.8829436243974333,0.11431654722448553
1.11,15.140751879699254,3.891111907886903,3.5055062233215337,0.13793424015307984
0.195,0.1573684210526316,0.39669688813076365,2.0343430160551983,0.008085943027500117
0.04,0.23398496240601505,0.48371992144836773,12.092998036209194,0.05851964846088812
0.0425,0.18114661654135342,0.42561322411475117,10.014428802700026,0.04264085566750655
0.0425,0.7225000000000013,0.8500000000000008,20.000000000000018,0.170072280719306
0.065,0.341629072681704,0.5844904384861261,8.992160592094248,0.052592504001709416
0.045,0.8099999999999999,0.9,20.0,0.18008103646640988
0.07,0.77203007518797,0.8786524200091694,12.55217742870242,0.11036726782861858
0.63,8.113383458646627,2.8484001577458575,4.521270091660091,0.12960034660658382
1.71,45.304160401002505,6.7308365305511995,3.9361617137726315,0.2695458444726609
0.1275,0.7380889724310781,0.859121046437042,6.738204285780721,0.057963234294790805
1.82,27.772030075188,5.269917463792768,2.8955590460399825,0.15542225691759246
0.2,2.9423558897243107,1.7153296737724533,8.576648368862266,0.14741261972566685
0.035,0.4900000000000005,0.7000000000000004,20.00000000000001,0.1400490171560047
0.2075,5.984404761904764,2.4463043068892234,11.78941834645409,0.28900473358869117
0.1375,1.1665100250626559,1.0800509363278457,7.85491590056615,0.0849539043503112
0.33,5.344461152882208,2.3118090649710257,7.005482015063714,0.16248958389601467
1.115,15.420325814536353,3.926872268681062,3.521858536933688,0.13985830634476976
0.0175,0.07237468671679209,0.26902543879118956,15.372882216639402,0.04136420257361729
0.0075,0.02250000000000001,0.15000000000000002,20.000000000000004,0.030002250168762668
2.0275,32.182199248120305,5.672935681648463,2.797995404018971,0.16201329928855163
1.0175,32.07738721804511,5.663690247360383,5.5662803413861255,0.3184975898121629
