A,B,C,D,E,F,G,H,I,J,K,L,M
0.5889919196066415,0.5050572145886605,27.7324988988465,1.511907232325079,46.1495238668685,58.61187313638198,24.557117000946917,20.12999757263156,1.0608019122891719,43.148656224826084,80.68628566081688,11.262780832320267,2.3880502181839987
0.8171781710443042,0.5266857736191142,2.6028970160401883,3.2137078220598028,30.27368168897055,6.817983392139741,40.03688230428385,21.381634405957232,9.80935040955648,54.874015728215284,7.260321634243532,72.15434658710824,14.988722929729075
0.656443307734051,13.438519925607793,11.17466048565732,1.717620849563808,48.427087922151436,43.03020397469446,1.502053017371118,21.099460550232692,8.310616300536047,52.52869874759359,85.1468891109586,65.90583965821631,13.532236845488033
1.2325445565452497,4.8258257589953075,11.24756247149849,5.3097345571334245,47.572848571383005,17.410552489673417,9.927578658924656,10.027952784787324,11.783934852520673,49.503785530760105,56.69608723477513,65.92797967182153,1.0177657054771458
0.6169615936940787,0.7395688891541354,1.3394482083297632,0.9148728061994262,50.906156135974186,17.081335364012126,9.71522115725433,11.258815164493384,5.955090947297997,68.77829901183286,38.45895945442301,9.366573207029361,31.006798265426795
0.6289185383608924,0.5881816125717734,3.908867682879581,0.5814853830279887,43.88521586590706,7.950752134837437,10.203565114828582,2.992653751746367,23.202844661007596,46.59592562814872,3.4675479321800893,79.74515950994322,4.697314233337337
0.9762437758918026,3.04128359257831,12.744322620505237,2.2409683149596944,47.60397860930384,1.1215574657656688,45.82944834431562,26.284842601736827,19.712191015516233,30.80853471238456,50.27496195374285,7.712941210197705,7.694699364784448
0.6782986262421815,0.5724481453266321,2.5880555788523623,2.404456688817561,39.109860659905785,12.299349975598613,43.309658464852895,2.8572023867421628,4.810233110919036,0.6364145021595249,1.6611350959220985,6.742125065601378,0.9581142389902482
0.5633942594818322,5.207531664857896,28.027480793151632,1.8944512068854493,41.18815594902136,23.041144139862485,31.97827448532677,11.90407418264725,10.124823376142324,56.065539914460935,49.45447718323119,20.499829173525548,42.92322895967922
0.625277475049792,3.399423218791597,3.3708779842851513,2.570246997450454,31.21098795781871,49.67914502511713,46.34818890815701,19.08898842373306,5.3547446559672025,61.513405671977026,8.238526415908545,76.23767138853371,37.32199025393178
0.9709173433954135,4.640860957335406,15.782570226948819,1.3364342588736946,45.106092106398776,9.784104231058805,25.08009904468841,17.098213593635595,9.338210015906824,55.23049518468524,3.2759558339335797,6.007542637110255,65.52004551598898
0.5769387960688803,0.5853011954443801,13.691293549791688,1.9997716382234927,42.40298528844268,8.10293195890911,45.145718161753145,3.6501860251380265,6.446509176247211,1.8111685719167099,27.226056004789797,0.9830493723227676,50.93188598891617
0.5891602456691203,1.0932674874969521,16.23305089727058,1.375509087796324,55.896044946039844,13.727748313157669,46.18415454230582,0.8309170388606155,6.5092469635734105,41.65503807882392,1.920018892580103,78.1507940036067,2.0514991279213675
0.8100157467846074,0.545495496477173,35.342563577848324,2.792448498262999,25.878436744558762,1.9768965392643025,44.9409237948093,25.066486781935595,0.7799563592640624,52.62001820963678,25.902802103412675,13.12916314657491,17.020553923139385
1.1145426480708451,1.5629034693230253,4.861903311201388,0.8224509852719564,53.25488521032892,36.12419102705529,38.01009405149046,6.95992876109533,9.21893148136737,0.6653909814279189,9.164228386561682,25.294632923295023,13.132634786824514
0.706441167850592,7.165350468555623,17.135656889060378,0.8654832043173428,42.85159009446073,25.51595131280291,53.81688719543576,9.761467387094793,1.2039005537893672,33.291285850608254,71.78568087413987,36.973308830483674,41.81540638973911
0.5940444806256693,3.1434577440974465,1.3317535132913676,2.4532210357412367,44.284290084631834,43.5663218188765,33.21732820709849,12.705708423383747,5.666545403137313,32.45176240696376,36.38088669222027,7.093788870858965,1.222299497980302
1.0289650773100547,0.5327478680654565,6.963916013651179,2.418451037170705,37.167772824904745,8.269705739273032,19.307746380564605,11.973553836264173,0.7912005143032488,63.59868300008934,9.0802457133886,5.527849140714892,2.1602638430610384
0.8129458414246429,2.0709316231376462,4.944845076690775,0.9001642117143405,49.4914195026497,34.81814063155444,33.29176100762456,1.3394445251690072,19.337993548541363,43.581488924007026,50.85810948506375,7.968499325182151,62.72803423995638
0.7944888900098803,4.030616193228518,9.111473483474327,0.9816833313605358,33.2925412964082,37.46080397816615,51.183181202939814,35.96522286746847,2.8912579889969052,71.7036799742838,48.29655028702587,60.9061825088042,27.558955891929806
1.2324521585960113,0.5440646624385224,1.8573014137636221,1.0676900949473378,33.684507452155295,0.054809425175680104,0.3036636217514257,21.350493458350886,23.303598082019093,1.0340304180348525,69.47606475017969,35.614699134622086,0.9589633268573721
0.5158221923759214,7.124641081041268,0.99921997679958,0.621363970167728,57.65651165131428,20.63391689688632,54.34926245337783,7.659306728060379,0.8151341488038213,2.2321352829452508,69.11333092345302,1.0519272982323429,13.034346666320396
1.967071422330676,2.0435907322605047,6.095620571632189,0.8053260436733893,50.12437046141662,14.955694612838483,26.631454260405544,0.5573393367619772,12.342298935212767,52.347481500730176,67.71333014758972,19.53479870075789,72.04690713947079
0.5986409399137145,0.7717615917202707,5.225446875916447,1.73597224333286,31.69238789999698,34.15272852174307,48.19165281924308,7.020407682277501,26.30140156705776,54.75455564078797,58.05097555204442,1.123873575374553,25.704822051328453
0.5584891031833337,0.5541285388727601,14.250246366731291,6.23303934614777,59.49683664478584,31.59702453467612,28.857857754136443,5.586894889937895,7.3972504946310025,42.46268453194473,6.258473033728336,82.83816713845113,58.238777183298396
0.9072685838433685,0.6465872907551855,0.5218656155032022,0.8221373293358809,50.90194611170522,38.79446914101378,47.874757085673636,13.611984781498514,1.490919504581278,58.707657819695015,57.04598177666503,17.657200989265256,14.906281399469627
0.8698465153257047,0.5718340124382735,28.879298205744206,0.7550034786731104,54.470680727173104,12.205616466170678,51.22794003089271,37.11433186375322,8.991089665681798,58.33881415271801,82.38996288141749,41.35415939469214,0.9304502762131435
1.2019860215375928,0.9565493916692702,1.3014497404708223,0.5128020658120818,54.21266421463994,3.777112119332358,41.361142410199975,57.53788364485544,20.008610531391007,43.03132096522876,0.748822752744914,36.2344845588468,2.499412162856842
0.6255460963114032,0.5741717984340866,0.8785399698118823,2.5018662474793416,51.21748637554029,0.6154468723117752,1.2248465735025,0.8082059704858402,2.867527065441166,55.643796871501735,73.700214348935,3.847763443956353,1.1576587958872224
0.6933005298452812,0.5385680215943864,35.609454174991555,1.2548769194814113,27.486792254530283,12.248623544230195,33.3783663992522,2.7137441848553436,23.935160007482672,44.971262919568,2.6867857686921113,0.6563300301523398,20.473287032360563
